bssid,vehicle
00:1A:DD:26:48:01,7930
00:1A:DD:26:48:11,7930
00:1A:DD:26:48:C1,7428
00:1A:DD:26:48:D1,7428
00:1A:DD:26:49:81,7420
00:1A:DD:26:49:91,7420
00:1A:DD:26:4A:E1,7415
00:1A:DD:26:4A:F1,7415
00:1A:DD:26:4B:01,7945
00:1A:DD:26:4B:11,7945
00:1A:DD:26:56:C1,7936
00:1A:DD:26:56:D1,7936
00:1A:DD:26:5C:61,7407
00:1A:DD:26:5C:71,7407
00:1A:DD:26:63:E1,7421
00:1A:DD:26:63:F1,7421
00:1A:DD:26:67:41,8301
00:1A:DD:26:67:51,8301
00:1A:DD:26:68:41,7404
00:1A:DD:26:68:51,7404
00:1A:DD:26:69:C1,7408
00:1A:DD:26:69:D1,7408
00:1A:DD:26:6D:21,8306
00:1A:DD:26:6D:31,8306
00:1A:DD:26:6F:A1,8332
00:1A:DD:26:6F:B1,8332
00:1A:DD:26:71:E1,7403
00:1A:DD:26:7A:81,8329
00:1A:DD:26:7A:91,8329
00:1A:DD:26:7A:C1,7902
00:1A:DD:26:80:91,8319
00:1A:DD:26:82:E1,7911
00:1A:DD:26:82:F1,7911
00:1A:DD:26:85:11,8313
00:1A:DD:26:85:21,7429
00:1A:DD:26:85:31,7429
00:1A:DD:26:85:D1,8321
00:1A:DD:26:87:C1,7431
00:1A:DD:26:87:D1,7431
00:1A:DD:26:88:41,7416
00:1A:DD:26:88:51,7416
00:1A:DD:26:88:61,7419
00:1A:DD:26:88:71,7419
00:1A:DD:26:88:A1,8303
00:1A:DD:26:88:B1,8303
00:1A:DD:26:89:01,8327
00:1A:DD:26:89:11,8327
00:1A:DD:26:89:61,7906
00:1A:DD:26:89:71,7906
00:1A:DD:26:8E:C1,7427
00:1A:DD:26:8E:D1,7427
00:1A:DD:26:91:E1,7943
00:1A:DD:26:91:F1,7943
00:1A:DD:26:92:61,2015
00:1A:DD:26:93:41,7953
00:1A:DD:26:93:51,7953
00:1A:DD:26:93:E1,7913
00:1A:DD:26:93:F1,7913
00:1A:DD:26:96:01,7423
00:1A:DD:26:96:11,7423
00:1A:DD:26:97:01,7410
00:1A:DD:26:97:11,7410
00:1A:DD:26:98:01,7411
00:1A:DD:26:98:11,7411
00:1A:DD:26:99:61,7406
00:1A:DD:26:99:71,7406
00:1A:DD:26:99:81,7417
00:1A:DD:26:99:91,7417
00:1A:DD:26:9C:81,7425
00:1A:DD:26:9C:91,7425
00:1A:DD:26:9D:E1,8336
00:1A:DD:26:A0:21,7432
00:1A:DD:26:A0:31,7432
00:1A:DD:26:A0:A1,7426
00:1A:DD:26:A0:B1,7426
00:1A:DD:26:A5:01,8330
00:1A:DD:26:A8:21,7948
00:1A:DD:26:A8:81,7413
00:1A:DD:26:A8:91,7413
00:1A:DD:26:AA:01,7412
00:1A:DD:26:AA:11,7412
00:1A:DD:26:AB:21,7433
00:1A:DD:26:AB:31,7433
00:1A:DD:28:74:E1,3108
00:1A:DD:28:74:F1,3108
00:1A:DD:28:75:A1,3109
00:1A:DD:28:75:B1,3109
00:1A:DD:28:77:61,7954
00:1A:DD:28:77:71,7954
00:1A:DD:28:77:81,7402
00:1A:DD:28:77:91,7402
00:1A:DD:28:77:A1,8328
00:1A:DD:28:7A:21,8311
00:1A:DD:28:7A:31,8311
00:1A:DD:28:92:41,3135
00:1A:DD:28:92:51,3135
