bssid,vehicle
00:0E:8E:6E:21:A4,"ICE Tz 104"
00:0E:8E:6E:21:B1,"ICE Tz 104"
00:0E:8E:6E:25:73,"ICE Tz 104"
00:0E:8E:6E:25:77,"ICE Tz 104"
00:0E:8E:6E:28:5C,"ICE Tz 104"
00:0E:8E:6E:28:5E,"ICE Tz 104"
00:0E:8E:6E:2A:9D,"ICE Tz 85"
00:0E:8E:6E:40:AC,"ICE Tz 104"
00:0E:8E:6E:45:16,"ICE Tz 85"
00:0E:8E:6E:47:08,"ICE Tz 104"
00:0E:8E:6E:58:B8,"ICE Tz 85"
00:0E:8E:6E:58:E0,"ICE Tz 85"
00:0E:8E:6E:61:91,"ICE Tz 104"
00:0E:8E:70:05:04,"ICE Tz 104"
00:0E:8E:70:05:27,"ICE Tz 104"
00:0E:8E:70:9B:A0,"ICE Tz 1158"
00:0E:8E:70:A5:50,"ICE Tz 1158"
00:0E:8E:70:A5:58,"ICE Tz 1158"
00:0E:8E:70:A5:5A,"ICE Tz 1158"
00:0E:8E:70:A8:93,"ICE Tz 104"
00:0E:8E:70:A8:98,"ICE Tz 104"
00:0E:8E:70:A8:99,"ICE Tz 1158"
00:0E:8E:70:A8:A0,"ICE Tz 1158"
00:0E:8E:70:C5:25,"ICE Tz 1158"
00:0E:8E:70:C6:A6,"ICE Tz 104"
00:0E:8E:70:C6:A7,"ICE Tz 104"
00:0E:8E:71:06:BC,"ICE Tz 1158"
00:0E:8E:71:06:C2,"ICE Tz 1158"
00:0E:8E:71:06:C6,"ICE Tz 1158"
00:0E:8E:71:06:C7,"ICE Tz 1158"
00:0E:8E:71:06:C8,"ICE Tz 1158"
00:0E:8E:71:06:C9,"ICE Tz 1158"
00:0E:8E:71:0C:ED,"ICE Tz 1158"
00:0E:8E:71:10:AE,"ICE Tz 104"
00:BE:75:26:B3:20,"ICE Tz 9002"
00:BE:75:26:B3:21,"ICE Tz 9002"
00:BE:75:33:18:50,"ICE Tz 9002"
00:BE:75:33:18:51,"ICE Tz 9002"
00:BE:75:7B:30:80,"ICE Tz 9002"
00:BE:75:7B:30:81,"ICE Tz 9002"
00:BE:75:88:1F:F0,"ICE Tz 9002"
00:BE:75:88:1F:F1,"ICE Tz 9002"
02:0E:8E:6E:21:A4,"ICE Tz 104"
02:0E:8E:6E:21:B1,"ICE Tz 104"
02:0E:8E:6E:25:73,"ICE Tz 104"
02:0E:8E:6E:25:77,"ICE Tz 104"
02:0E:8E:6E:28:5C,"ICE Tz 104"
02:0E:8E:6E:28:5E,"ICE Tz 104"
02:0E:8E:6E:2A:9D,"ICE Tz 85"
02:0E:8E:6E:40:AC,"ICE Tz 104"
02:0E:8E:6E:45:16,"ICE Tz 85"
02:0E:8E:6E:47:08,"ICE Tz 104"
02:0E:8E:6E:58:B8,"ICE Tz 85"
02:0E:8E:6E:58:E0,"ICE Tz 85"
02:0E:8E:6E:61:91,"ICE Tz 104"
02:0E:8E:70:05:04,"ICE Tz 104"
02:0E:8E:70:05:27,"ICE Tz 104"
02:0E:8E:70:9B:A0,"ICE Tz 1158"
02:0E:8E:70:A5:50,"ICE Tz 1158"
02:0E:8E:70:A5:58,"ICE Tz 1158"
02:0E:8E:70:A5:5A,"ICE Tz 1158"
02:0E:8E:70:A8:93,"ICE Tz 104"
02:0E:8E:70:A8:98,"ICE Tz 104"
02:0E:8E:70:A8:99,"ICE Tz 1158"
02:0E:8E:70:A8:A0,"ICE Tz 1158"
02:0E:8E:70:C6:A6,"ICE Tz 104"
