bssid,vehicle
00:02:6F:66:8C:30,"UESTRA Hannover, RTLS"
00:02:6F:66:8C:34,"UESTRA Hannover, RTLS"
00:02:6F:66:8F:45,"UESTRA Hannover, RTLS"
00:02:6F:66:8F:4E,"UESTRA Hannover, RTLS"
00:02:6F:75:70:1B,"UESTRA Hannover, RTLS"
02:02:6F:66:8C:30,"UESTRA Hannover, RTLS"
02:02:6F:66:8C:34,"UESTRA Hannover, RTLS"
02:02:6F:66:8F:45,"UESTRA Hannover, RTLS"
02:02:6F:66:8F:4E,"UESTRA Hannover, RTLS"
02:02:6F:75:70:1B,"UESTRA Hannover, RTLS"
34:DB:FD:97:D6:F1,"Hannover Hbf"
34:DB:FD:97:D6:FE,"Hannover Hbf"
34:DB:FD:97:D6:FF,"Hannover Hbf"
5C:5A:C7:C3:1E:A0,"Hannover Hbf"
5C:5A:C7:C3:1E:AF,"Hannover Hbf"
64:E9:50:66:95:31,"Hannover Hbf"
64:E9:50:66:95:3E,"Hannover Hbf"
64:E9:50:66:95:3F,"Hannover Hbf"
64:E9:50:7C:02:D0,"Hannover Hbf"
64:E9:50:7C:02:D1,"Hannover Hbf"
64:E9:50:7C:02:DE,"Hannover Hbf"
64:E9:50:7C:02:DF,"Hannover Hbf"
64:E9:50:7C:1E:5F,"Hannover Hbf"
70:B3:17:07:48:E0,"Hannover Hbf"
70:B3:17:07:4B:0F,"Hannover Hbf"
70:B3:17:07:4D:6F,"Hannover Hbf"
70:B3:17:07:4D:AF,"Hannover Hbf"
70:B3:17:07:4E:E0,"Hannover Hbf"
70:B3:17:07:4E:EF,"Hannover Hbf"
70:B3:17:07:4F:4F,"Hannover Hbf"
70:B3:17:07:51:8F,"Hannover Hbf"
70:B3:17:07:53:00,"Hannover Hbf"
70:B3:17:07:53:0F,"Hannover Hbf"
70:B3:17:07:56:0F,"Hannover Hbf"
70:B3:17:07:56:20,"Hannover Hbf"
70:B3:17:07:56:60,"Hannover Hbf"
70:B3:17:07:56:80,"Hannover Hbf"
70:B3:17:07:56:8F,"Hannover Hbf"
70:B3:17:07:5A:EF,"Hannover Hbf"
70:B3:17:07:5F:6F,"Hannover Hbf"
70:B3:17:07:5F:A0,"Hannover Hbf"
70:B3:17:07:5F:AF,"Hannover Hbf"
70:B3:17:07:61:A0,"Hannover Hbf"
70:B3:17:07:61:AF,"Hannover Hbf"
70:B3:17:07:62:40,"Hannover Hbf"
70:B3:17:07:62:4F,"Hannover Hbf"
70:B3:17:07:62:60,"Hannover Hbf"
70:B3:17:07:62:80,"Hannover Hbf"
70:B3:17:07:62:8F,"Hannover Hbf"
70:B3:17:07:64:C0,"Hannover Hbf"
70:B3:17:07:8E:20,"Hannover Hbf"
70:B3:17:07:96:A0,"Hannover Hbf"
70:B3:17:07:96:AF,"Hannover Hbf"
70:B3:17:07:96:E0,"Hannover Hbf"
70:B3:17:07:96:EF,"Hannover Hbf"
70:B3:17:07:A4:80,"Hannover Hbf"
70:B3:17:07:B4:2F,"Hannover Hbf"
70:B3:17:07:B4:60,"Hannover Hbf"
70:B3:17:07:B4:C0,"Hannover Hbf"
70:B3:17:07:B4:CF,"Hannover Hbf"
70:B3:17:07:B7:00,"Hannover Hbf"
70:B3:17:07:B7:0F,"Hannover Hbf"
70:B3:17:07:BA:00,"Hannover Hbf"
70:B3:17:07:BC:E0,"Hannover Hbf"
70:B3:17:07:BC:EF,"Hannover Hbf"
70:B3:17:07:C4:6F,"Hannover Hbf"
70:B3:17:07:D0:20,"Hannover Hbf"
70:B3:17:07:D0:2F,"Hannover Hbf"
70:B3:17:07:D3:A0,"Hannover Hbf"
70:B3:17:07:D8:A0,"Hannover Hbf"
70:B3:17:07:D8:AF,"Hannover Hbf"
70:B3:17:07:E4:2F,"Hannover Hbf"
70:B3:17:07:E5:6F,"Hannover Hbf"
70:B3:17:07:E6:00,"Hannover Hbf"
70:B3:17:07:E6:0F,"Hannover Hbf"
70:B3:17:07:E8:60,"Hannover Hbf"
70:B3:17:07:F2:80,"Hannover Hbf"
70:B3:17:07:F6:C0,"Hannover Hbf"
70:B3:17:07:F6:CF,"Hannover Hbf"
70:B3:17:07:FA:E0,"Hannover Hbf"
70:B3:17:07:FA:EF,"Hannover Hbf"
70:B3:17:08:06:A0,"Hannover Hbf"
70:B3:17:08:09:60,"Hannover Hbf"
70:B3:17:08:09:6F,"Hannover Hbf"
70:B3:17:08:09:80,"Hannover Hbf"
70:B3:17:08:09:8F,"Hannover Hbf"
70:B3:17:08:0B:40,"Hannover Hbf"
70:B3:17:08:0B:4F,"Hannover Hbf"
70:B3:17:08:0B:80,"Hannover Hbf"
70:B3:17:08:0B:8F,"Hannover Hbf"
70:B3:17:08:0C:60,"Hannover Hbf"
70:B3:17:08:10:80,"Hannover Hbf"
70:B3:17:08:10:8F,"Hannover Hbf"
70:B3:17:08:1F:40,"Hannover Hbf"
70:B3:17:08:1F:4F,"Hannover Hbf"
70:B3:17:08:1F:E0,"Hannover Hbf"
F8:0F:6F:49:25:C0,"Hannover Hbf"
