bssid,vehicle
04:F0:21:38:E9:B6,"ET 610"
04:F0:21:45:F1:CE,"ET 612"
04:F0:21:46:03:A2,"ET 613"
04:F0:21:46:05:28,"ET 610"
04:F0:21:46:05:2B,"ET 612"
04:F0:21:46:05:2C,"ET 611"
04:F0:21:46:06:19,"ET 613"
04:F0:21:46:06:1C,"ET 613"
04:F0:21:46:08:01,"ET 610"
04:F0:21:46:08:DF,"ET 612"
04:F0:21:4B:F8:52,"ET 610"
04:F0:21:4B:F8:55,"ET 610"
04:F0:21:4B:F8:63,"ET 610"
04:F0:21:4B:F8:67,"ET 613"
04:F0:21:4B:F8:6D,"ET 613"
04:F0:21:4B:F8:6E,"ET 613"
04:F0:21:4B:F8:71,"ET 610"
04:F0:21:4B:FC:88,"ET 613"
04:F0:21:4B:FC:8C,"ET 613"
04:F0:21:4B:FC:8D,"ET 613"
04:F0:21:4B:FC:8E,"ET 612"
04:F0:21:4B:FC:A9,"ET 613"
04:F0:21:4B:FC:AA,"ET 613"
04:F0:21:4B:FC:AC,"ET 613"
04:F0:21:4B:FC:AD,"ET 613"
04:F0:21:4B:FC:B7,"ET 610"
04:F0:21:4B:FC:BB,"ET 610"
04:F0:21:4B:FC:BC,"ET 613"
04:F0:21:51:6C:4B,"ET 613"
04:F0:21:51:6C:4E,"ET 610"
04:F0:21:51:6C:94,"ET 612"
04:F0:21:51:6D:39,"ET 613"
04:F0:21:51:6D:58,"ET 613"
04:F0:21:51:6D:64,"ET 612"
04:F0:21:51:6F:17,"ET 610"
04:F0:21:51:6F:1E,"ET 612"
04:F0:21:51:6F:2F,"ET 610"
04:F0:21:51:6F:4C,"ET 613"
04:F0:21:51:71:17,"ET 612"
04:F0:21:51:71:2E,"ET 613"
04:F0:21:51:71:3B,"ET 610"
04:F0:21:55:FD:55,"ET 607"
04:F0:21:55:FD:D9,"ET 612"
04:F0:21:56:08:F9,"ET 610"
04:F0:21:56:08:FE,"ET 613"
04:F0:21:56:09:29,"ET 612"
04:F0:21:56:09:3F,"ET 613"
04:F0:21:56:09:89,"ET 610"
04:F0:21:56:09:8A,"ET 610"
04:F0:21:56:09:93,"ET 612"
04:F0:21:56:09:95,"ET 610"
04:F0:21:56:0A:1E,"ET 612"
04:F0:21:56:0A:23,"ET 612"
04:F0:21:56:0A:29,"ET 612"
04:F0:21:56:20:3E,"ET 612"
04:F0:21:56:20:41,"ET 612"
04:F0:21:56:20:45,"ET 612"
04:F0:21:56:20:4D,"ET 612"
04:F0:21:56:20:50,"ET 612"
04:F0:21:56:20:55,"ET 612"
04:F0:21:56:20:5B,"ET 613"
04:F0:21:56:20:65,"ET 610"
04:F0:21:56:20:6B,"ET 613"
04:F0:21:56:22:7A,"ET 613"
04:F0:21:56:22:80,"ET 613"
04:F0:21:56:24:27,"ET 612"
04:F0:21:56:24:2D,"ET 613"
04:F0:21:56:24:49,"ET 613"
04:F0:21:56:24:4D,"ET 612"
06:F0:21:38:E9:B6,"ET 610"
06:F0:21:4B:F8:52,"ET 610"
06:F0:21:4B:F8:55,"ET 610"
06:F0:21:4B:F8:63,"ET 610"
06:F0:21:4B:F8:67,"ET 613"
06:F0:21:4B:F8:6D,"ET 613"
06:F0:21:4B:F8:6E,"ET 613"
06:F0:21:4B:F8:71,"ET 610"
06:F0:21:4B:F8:72,"ET 610"
06:F0:21:4B:FC:88,"ET 613"
06:F0:21:4B:FC:8B,"ET 612"
06:F0:21:4B:FC:8C,"ET 613"
06:F0:21:4B:FC:8D,"ET 613"
06:F0:21:4B:FC:8E,"ET 612"
06:F0:21:4B:FC:A9,"ET 613"
06:F0:21:4B:FC:AA,"ET 613"
06:F0:21:4B:FC:AC,"ET 613"
06:F0:21:4B:FC:AD,"ET 613"
06:F0:21:4B:FC:B7,"ET 610"
06:F0:21:4B:FC:BB,"ET 610"
06:F0:21:4B:FC:BC,"ET 613"
06:F0:21:51:6C:4B,"ET 613"
06:F0:21:51:6C:4E,"ET 610"
06:F0:21:51:6D:39,"ET 613"
06:F0:21:51:6D:58,"ET 613"
06:F0:21:51:6D:64,"ET 612"
06:F0:21:51:6F:17,"ET 610"
06:F0:21:51:6F:1E,"ET 612"
06:F0:21:51:6F:4C,"ET 613"
06:F0:21:51:71:17,"ET 612"
06:F0:21:51:71:2E,"ET 613"
06:F0:21:51:71:39,"ET 612"
06:F0:21:51:71:3B,"ET 610"
06:F0:21:55:FD:55,"ET 607"
06:F0:21:55:FD:D9,"ET 612"
06:F0:21:56:08:F9,"ET 610"
06:F0:21:56:08:FE,"ET 613"
06:F0:21:56:09:29,"ET 612"
06:F0:21:56:09:3F,"ET 613"
06:F0:21:56:09:89,"ET 610"
06:F0:21:56:09:8A,"ET 610"
06:F0:21:56:09:93,"ET 612"
06:F0:21:56:09:95,"ET 610"
06:F0:21:56:0A:1E,"ET 612"
06:F0:21:56:0A:23,"ET 612"
06:F0:21:56:0A:29,"ET 612"
06:F0:21:56:20:3E,"ET 612"
06:F0:21:56:20:41,"ET 612"
06:F0:21:56:20:45,"ET 612"
06:F0:21:56:20:4D,"ET 612"
06:F0:21:56:20:50,"ET 612"
06:F0:21:56:20:58,"ET 610"
06:F0:21:56:20:5B,"ET 613"
06:F0:21:56:20:65,"ET 610"
06:F0:21:56:20:6B,"ET 613"
06:F0:21:56:22:7A,"ET 613"
06:F0:21:56:22:80,"ET 613"
06:F0:21:56:24:27,"ET 612"
06:F0:21:56:24:2D,"ET 613"
06:F0:21:56:24:49,"ET 613"
06:F0:21:56:24:4D,"ET 612"
