bssid,vehicle
00:2C:C8:B8:23:90,"DB Regio Dosto (ohne direkte Zuordnung)"
00:2C:C8:BC:A4:90,"DB Regio Dosto (ohne direkte Zuordnung)"
00:2C:C8:E4:9F:90,"DB Regio Dosto (ohne direkte Zuordnung)"
00:A3:8E:BA:AF:C0,"DB Regio Dosto (ohne direkte Zuordnung)"
00:A3:8E:BC:58:60,"DB Regio Dosto (ohne direkte Zuordnung)"
00:A3:8E:C2:8B:30,"DB Regio Dosto (ohne direkte Zuordnung)"
00:A3:8E:C2:8F:00,"DB Regio Dosto (ohne direkte Zuordnung)"
00:A3:8E:CE:52:B0,"DB Regio Dosto (ohne direkte Zuordnung)"
00:A3:8E:CF:F0:C0,"DB Regio Dosto (ohne direkte Zuordnung)"
00:A3:8E:CF:F4:90,"DB Regio Dosto (ohne direkte Zuordnung)"
00:A3:8E:D3:17:00,"DB Regio Dosto (ohne direkte Zuordnung)"
00:A3:8E:D3:3F:C0,"DB Regio Dosto (ohne direkte Zuordnung)"
00:A3:8E:D4:A8:E0,"DB Regio Dosto (ohne direkte Zuordnung)"
18:80:90:14:EF:80,"DB Regio Dosto (ohne direkte Zuordnung)"
18:80:90:24:EF:D0,"DB Regio Dosto (ohne direkte Zuordnung)"
18:80:90:24:F0:E0,"DB Regio Dosto (ohne direkte Zuordnung)"
18:80:90:25:1E:C0,"DB Regio Dosto (ohne direkte Zuordnung)"
2C:5A:0F:09:21:B0,"DB Regio Dosto (ohne direkte Zuordnung)"
2C:5A:0F:0C:61:40,"DB Regio Dosto (ohne direkte Zuordnung)"
2C:5A:0F:38:98:E0,"DB Regio Dosto (ohne direkte Zuordnung)"
2C:5A:0F:38:A1:40,"DB Regio Dosto (ohne direkte Zuordnung)"
2C:5A:0F:A6:55:80,"DB Regio Dosto (ohne direkte Zuordnung)"
2C:5A:0F:D5:D0:70,"DB Regio Dosto (ohne direkte Zuordnung)"
40:01:7A:80:FF:30,"648 272/772"
40:01:7A:82:59:C0,"648 272/772"
40:01:7A:83:89:90,"648 255/755 ""Osterode am Harz"""
40:01:7A:8C:A2:70,"DB Regio Dosto (ohne direkte Zuordnung)"
40:01:7A:8E:44:30,"648 255/755 ""Osterode am Harz"""
40:01:7A:8F:FC:30,"DB Regio Dosto (ohne direkte Zuordnung)"
40:CE:24:89:75:30,"DB Regio Dosto (ohne direkte Zuordnung)"
40:CE:24:C5:00:90,"DB Regio Dosto (ohne direkte Zuordnung)"
40:CE:24:C7:93:E0,"DB Regio Dosto (ohne direkte Zuordnung)"
70:69:5A:E3:05:00,"648 962/648 462"
70:69:5A:F1:79:B0,"648 962/648 462"
B0:26:80:DD:92:B0,"648 343/843 ""Neustadt in Holstein"""
F8:0B:CB:6B:71:70,"DB Regio Dosto (ohne direkte Zuordnung)"
F8:0B:CB:6E:91:C0,"DB Regio Dosto (ohne direkte Zuordnung)"
