bssid,vehicle
06:90:E8:45:41:E6,"Enno 123"
06:90:E8:45:41:E7,"Enno 117"
06:90:E8:45:41:E8,"Enno 105"
06:90:E8:45:41:F2,"Enno 110"
06:90:E8:45:42:01,"Enno 121"
06:90:E8:45:42:0A,"Enno 104"
06:90:E8:45:42:0B,"Enno 106"
0A:90:E8:32:3B:F5,"Enno 110"
0A:90:E8:32:3B:F7,"Enno 105"
0A:90:E8:36:F5:8E,"Enno 105"
0A:90:E8:36:F6:1B,"Enno 104"
0A:90:E8:36:F6:1C,"Enno 105"
0A:90:E8:40:21:96,"Enno 117"
0A:90:E8:40:84:DE,"Enno 117"
0A:90:E8:40:84:F9,"Enno 113"
0A:90:E8:40:85:01,"Enno 106"
0A:90:E8:40:85:3D,"Enno 110"
0A:90:E8:40:DE:A6,"Enno 104"
0A:90:E8:40:DE:C5,"Enno 109"
0A:90:E8:45:41:E6,"Enno 123"
0A:90:E8:45:41:E7,"Enno 117"
0A:90:E8:45:41:E8,"Enno 105"
0A:90:E8:45:41:F0,"Enno 112"
0A:90:E8:45:41:F2,"Enno 110"
0A:90:E8:45:41:F7,"Enno 109"
0A:90:E8:45:42:01,"Enno 121"
0A:90:E8:45:42:02,"Enno 113"
0A:90:E8:45:42:03,"Enno 120"
0A:90:E8:45:42:07,"Enno 108"
0A:90:E8:45:42:0A,"Enno 104"
0A:90:E8:45:42:0B,"Enno 106"
0A:90:E8:4F:16:71,"Enno 123"
0A:90:E8:4F:2F:E7,"Enno 121"
0A:90:E8:4F:2F:F8,"Enno 121"
0A:90:E8:4F:BB:AA,"Enno 123"
0A:90:E8:4F:BB:CA,"Enno 121"
0A:90:E8:56:82:F4,"Enno 123"
0E:90:E8:32:3B:F5,"Enno 110"
0E:90:E8:32:3B:F7,"Enno 105"
0E:90:E8:36:F5:8E,"Enno 105"
0E:90:E8:36:F5:9A,"Enno 109"
0E:90:E8:36:F5:A3,"Enno 108"
0E:90:E8:36:F5:F2,"Enno 108"
0E:90:E8:36:F6:13,"Enno 110"
0E:90:E8:36:F6:1B,"Enno 104"
0E:90:E8:40:21:92,"Enno 106"
0E:90:E8:40:21:96,"Enno 117"
0E:90:E8:40:21:C0,"Enno 112"
0E:90:E8:40:21:CC,"Enno 112"
0E:90:E8:40:5C:EA,"Enno 106"
0E:90:E8:40:84:AB,"Enno 108"
0E:90:E8:40:84:D3,"Enno 120"
0E:90:E8:40:84:D4,"Enno 120"
0E:90:E8:40:84:F9,"Enno 113"
0E:90:E8:40:85:01,"Enno 106"
0E:90:E8:40:85:31,"Enno 112"
0E:90:E8:40:85:3D,"Enno 110"
0E:90:E8:40:DE:A0,"Enno 104"
0E:90:E8:40:DE:B3,"Enno 119"
0E:90:E8:40:DE:BF,"Enno 119"
0E:90:E8:40:DE:C5,"Enno 109"
0E:90:E8:40:DE:C6,"Enno 124"
0E:90:E8:40:DE:D4,"Enno 117"
0E:90:E8:45:41:E6,"Enno 123"
0E:90:E8:45:41:E7,"Enno 117"
0E:90:E8:45:41:E8,"Enno 105"
0E:90:E8:45:41:F2,"Enno 110"
0E:90:E8:45:42:01,"Enno 121"
0E:90:E8:45:42:02,"Enno 113"
0E:90:E8:45:42:0A,"Enno 104"
0E:90:E8:45:42:0B,"Enno 106"
0E:90:E8:4B:0A:AB,"Enno 120"
0E:90:E8:4F:16:71,"Enno 123"
0E:90:E8:4F:2F:D9,"Enno 124"
0E:90:E8:4F:2F:E7,"Enno 121"
0E:90:E8:4F:2F:F8,"Enno 121"
0E:90:E8:4F:BB:AA,"Enno 123"
0E:90:E8:4F:BB:CA,"Enno 121"
0E:90:E8:56:82:E4,"Enno 124"
0E:90:E8:56:82:F4,"Enno 123"
12:90:E8:32:3B:F5,"Enno 110"
12:90:E8:32:3B:F7,"Enno 105"
12:90:E8:36:F5:8E,"Enno 105"
12:90:E8:36:F6:1B,"Enno 104"
12:90:E8:40:21:92,"Enno 106"
12:90:E8:40:21:96,"Enno 117"
12:90:E8:40:21:C0,"Enno 112"
12:90:E8:40:5C:EA,"Enno 106"
12:90:E8:40:85:01,"Enno 106"
12:90:E8:40:85:3D,"Enno 110"
12:90:E8:40:DE:C5,"Enno 109"
12:90:E8:45:41:E6,"Enno 123"
12:90:E8:45:41:E7,"Enno 117"
12:90:E8:45:41:E8,"Enno 105"
12:90:E8:45:41:F2,"Enno 110"
12:90:E8:45:42:01,"Enno 121"
12:90:E8:45:42:02,"Enno 113"
12:90:E8:45:42:0B,"Enno 106"
12:90:E8:4F:16:71,"Enno 123"
12:90:E8:4F:2F:E7,"Enno 121"
12:90:E8:4F:2F:F8,"Enno 121"
12:90:E8:4F:BB:AA,"Enno 123"
12:90:E8:56:82:F4,"Enno 123"
16:90:E8:32:3B:F5,"Enno 110"
16:90:E8:32:3B:F7,"Enno 105"
16:90:E8:36:F5:8E,"Enno 105"
16:90:E8:40:21:92,"Enno 106"
16:90:E8:40:21:96,"Enno 117"
16:90:E8:40:21:C0,"Enno 112"
16:90:E8:40:21:CC,"Enno 112"
16:90:E8:40:5C:EA,"Enno 106"
16:90:E8:40:84:DE,"Enno 117"
16:90:E8:40:85:01,"Enno 106"
16:90:E8:40:85:3D,"Enno 110"
16:90:E8:40:DE:D4,"Enno 117"
16:90:E8:45:41:E6,"Enno 123"
16:90:E8:45:41:E7,"Enno 117"
16:90:E8:45:41:E8,"Enno 105"
16:90:E8:45:41:F2,"Enno 110"
16:90:E8:45:42:01,"Enno 121"
16:90:E8:45:42:0A,"Enno 104"
16:90:E8:45:42:0B,"Enno 106"
16:90:E8:4F:16:71,"Enno 123"
16:90:E8:4F:2F:E7,"Enno 121"
16:90:E8:4F:2F:F8,"Enno 121"
16:90:E8:4F:BB:AA,"Enno 123"
16:90:E8:4F:BB:CA,"Enno 121"
16:90:E8:56:82:F4,"Enno 123"
1A:90:E8:32:3B:F7,"Enno 105"
1A:90:E8:36:F5:8E,"Enno 105"
1A:90:E8:40:21:96,"Enno 117"
1A:90:E8:40:21:C0,"Enno 112"
1A:90:E8:40:5C:EA,"Enno 106"
1A:90:E8:40:85:01,"Enno 106"
1A:90:E8:40:85:3D,"Enno 110"
1A:90:E8:40:DE:C5,"Enno 109"
1A:90:E8:4F:16:71,"Enno 123"
1A:90:E8:4F:2F:E7,"Enno 121"
1A:90:E8:4F:2F:F8,"Enno 121"
1A:90:E8:4F:BB:CA,"Enno 121"
70:B3:17:08:03:0F,"Enno 117"
