bssid,possible_assignments
00:02:6F:53:81:CE,"8427,Buchholz,anderes"
00:02:6F:66:8B:4D,"25xx,7404,7421,RTLS Bhf Vahrenwald,UESTRA Hannover"
00:02:6F:66:8C:3D,"2527,2548,2555,2586,RTLS Glocksee,UESTRA Hannover"
00:02:6F:66:8C:40,"2527,2548,2555,2586,RTLS Glocksee,UESTRA Hannover"
00:02:6F:66:8C:43,"Bus,RTLS Bhf Vahrenwald,UESTRA Hannover"
00:02:6F:66:8C:57,"Bus,RTLS Bhf Vahrenwald,UESTRA Hannover"
00:02:6F:66:8D:92,"Bus,RTLS Bhf Vahrenwald,UESTRA Hannover"
00:02:6F:66:8F:57,"RTLS,UESTRA Hannover"
00:02:6F:75:6D:9D,"20xx,RTLS Bhf Vahrenwald,UESTRA Hannover"
00:02:6F:75:6D:BF,"8427,Buchholz,anderes"
00:02:6F:75:70:15,"RTLS R,UESTRA Hannover,bruch"
00:02:6F:75:70:17,"RTLS R,UESTRA Hannover,bruch"
00:02:6F:75:70:18,"2xxx,7409,RTLS Glocksee,UESTRA Hannover"
00:02:6F:75:70:28,"2520,2530,7409,RTLS Glocksee,UESTRA Hannover"
00:09:4F:75:EB:E5,"Hannover Hbf,Zug"
00:09:4F:7C:14:11,"Hannover Hbf,ICE Tz Arnstadt,WFB ET 607,WFB ET 610,Zug"
00:09:4F:B3:88:F7,"Hannover Hbf,Zug"
00:0E:8E:4B:83:E3,"Hannover Hbf,Tz06,Tz9019"
00:0E:8E:5B:E7:51,"...,DB Regio,Mannheim Hbf,S-Bahn RheinNeckar"
00:0E:8E:5E:46:73,Flixbus
00:0E:8E:5E:49:81,Flixbus
00:0E:8E:5E:73:14,"Flixbus GG R 895"
00:0E:8E:5E:C6:31,"Flixtrain,Hannover Hbf,ICE Tz 215 Bitterfeld-Wolfen,ICE Tz 9009,ICE Tz Brandenburg an der Havel"
00:0E:8E:5E:D7:7D,"Hannover Hbf,IC2,ICE Tz 219 Hagen,ICE Tz 240 Bochum"
00:0E:8E:5E:D7:97,"Hannover Hbf,IC2,ICE Tz 219 Hagen,ICE Tz 240 Bochum"
00:0E:8E:5E:E8:04,"Flixtrain,Hannover Hbf,ICE Tz 215 Bitterfeld-Wolfen,ICE Tz 9009,ICE Tz Brandenburg an der Havel"
00:0E:8E:5E:E8:16,"Flixtrain,Hannover Hbf,ICE Tz 215 Bitterfeld-Wolfen,ICE Tz 9009,ICE Tz Brandenburg an der Havel"
00:0E:8E:5E:E8:1B,"Flixtrain,Hannover Hbf,ICE Tz 215 Bitterfeld-Wolfen,ICE Tz 9009,ICE Tz Brandenburg an der Havel"
00:0E:8E:5E:E8:2E,"Flixtrain,Hannover Hbf,ICE Tz 215 Bitterfeld-Wolfen,ICE Tz 9009,ICE Tz Brandenburg an der Havel"
00:0E:8E:5E:E8:32,"Flixtrain,Hannover Hbf,ICE Tz 215 Bitterfeld-Wolfen,ICE Tz 9009,ICE Tz Brandenburg an der Havel"
00:0E:8E:5E:EA:99,"Flixtrain,Hannover Hbf,ICE Tz 215 Bitterfeld-Wolfen,ICE Tz 9009,ICE Tz Brandenburg an der Havel"
00:0E:8E:5F:2B:65,"ICE Tz 90"
00:0E:8E:5F:2B:D2,"Bahnhof Rheine,Eurobahn,Westfalenbahn"
00:0E:8E:5F:74:9A,"H R 5820,H R 6119,Hannover ZOB"
00:0E:8E:5F:76:20,"H R 5820,H R 6119,Hannover ZOB"
00:0E:8E:5F:79:3A,"H R 5820,H R 6119,Hannover ZOB"
00:0E:8E:5F:79:3D,"H R 5820,H R 6119,Hannover ZOB"
00:0E:8E:5F:B3:A5,Flixbus
00:0E:8E:5F:D9:19,"Bremen Hbf,DB Regio Dosto,IC Tz,anderer"
00:0E:8E:5F:F3:05,"Bremen Hbf,DB Regio Dosto,IC Tz,anderer"
00:0E:8E:5F:F3:AB,"Bremen Hbf,DB Regio Nord Dosto,IC Tz"
00:0E:8E:5F:F3:CE,"Bremen Hbf,DB Regio Nord Dosto,IC Tz"
00:0E:8E:5F:F3:E4,"Bremen Hbf,DB Regio Nord Dosto,IC Tz"
00:0E:8E:5F:F4:01,"Bremen Hbf,DB Regio Nord Dosto,IC Tz"
00:0E:8E:5F:F5:64,"IC mit 61 80 20-95 627-1 und 61 80 21-90 908-9,Kassel Wilhelmshöhe"
00:0E:8E:5F:F6:0C,"IC mit 61 80 20-95 627-1 und 61 80 21-90 908-9,Kassel Wilhelmshöhe"
00:0E:8E:60:1F:FD,"Hannover Hbf,IC2,ICE Tz 219 Hagen,ICE Tz 240 Bochum"
00:0E:8E:60:2D:73,"Flixtrain,Hannover Hbf,ICE Tz 215 Bitterfeld-Wolfen,ICE Tz 9009,ICE Tz Brandenburg an der Havel"
00:0E:8E:60:37:B0,"ICE Tz 210 Fontaneatatt Neuruppin,ICE Tz 239 Essen,ICE Tz 9019???"
00:0E:8E:60:37:CA,"Hannover Hbf,IC2,ICE Tz 219 Hagen,ICE Tz 240 Bochum"
00:0E:8E:60:37:D6,"Hannover Hbf,IC2,ICE Tz 219 Hagen,ICE Tz 240 Bochum"
00:0E:8E:60:37:DB,"Hannover Hbf,ICE Tz 210 Fontaneatatt Neuruppin,ICE Tz Essen"
00:0E:8E:6D:9D:7C,"Hannover Hbf,ICE Tz 210 Fontaneatatt Neuruppin,ICE Tz Essen"
00:0E:8E:6D:9E:BD,"Hannover Hbf,ICE Tz 210 Fontaneatatt Neuruppin,ICE Tz Essen"
00:0E:8E:6E:19:99,"ICE Tz 73"
00:0E:8E:6E:1A:43,"ICE Tz 73"
00:0E:8E:6E:1E:7A,"ICE Tz 243,Tz 219"
00:0E:8E:6E:1F:0C,"ICE Tz1164 (411 864)"
00:0E:8E:6E:20:54,"Hannover Hbf,IC2,ICE Tz 219 Hagen,ICE Tz 240 Bochum,ICE Tz 243,Tz 219"
00:0E:8E:6E:20:55,"ICE Tz 243,Tz 219"
00:0E:8E:6E:20:57,"DB Regio Dosto,Enno xxx,Hannover Hbf,ICE Tz 67 Garmisch Partenkirchen"
00:0E:8E:6E:20:58,"DB Regio Dosto,Enno xxx,Hannover Hbf,ICE Tz 67 Garmisch Partenkirchen"
00:0E:8E:6E:20:9B,"DB Regio Dosto,Enno xxx,Hannover Hbf,ICE Tz 67 Garmisch Partenkirchen"
00:0E:8E:6E:20:9D,"Hannover Hbf,ICE Tz 1118 PlauenVogtland"
00:0E:8E:6E:20:B6,"Hannover Hbf,ICE Tz 1118 PlauenVogtland"
00:0E:8E:6E:20:EB,"ICE Tz 243,Tz 219"
00:0E:8E:6E:21:81,"ICE Tz 73"
00:0E:8E:6E:21:86,"DB Regio Dosto,Enno xxx,Hannover Hbf,ICE Tz 67 Garmisch Partenkirchen"
00:0E:8E:6E:21:8B,"DB Regio Dosto,Enno xxx,Hannover Hbf,ICE Tz 67 Garmisch Partenkirchen"
00:0E:8E:6E:21:AF,"Hannover Hbf,ICE Tz 1118 PlauenVogtland"
00:0E:8E:6E:22:D6,"DB Regio Dosto,Enno xxx,Hannover Hbf,ICE Tz 67 Garmisch Partenkirchen"
00:0E:8E:6E:23:73,"ICE Tz 73"
00:0E:8E:6E:24:4C,"ICE Tz 73"
00:0E:8E:6E:24:E5,"Hannover Hbf,ICE Tz 210 Fontaneatatt Neuruppin,ICE Tz Essen"
00:0E:8E:6E:24:ED,"DB Regio Dosto,Enno xxx,Hannover Hbf,ICE Tz 67 Garmisch Partenkirchen"
00:0E:8E:6E:25:0B,"Hannover Hbf,ICE Tz 210 Fontaneatatt Neuruppin,ICE Tz Essen"
